activity name,time started,time ended,comment,categories,record tags,duration,duration minutes
"emp",2023-10-15 15:27:59,2023-10-15 15:38:03,"","","Cluster Pools, unit tests and integration tests",0:10:4,10
"emp",2023-10-15 16:00:46,2023-10-15 16:24:57,"","","Cluster Pools, unit tests and integration tests",0:24:11,24
"emp",2023-10-15 16:25:46,2023-10-15 16:55:35,"","","Cluster Pools, mock platform",0:29:49,29
"emp",2023-10-16 07:56:03,2023-10-16 08:22:27,"","","Cluster Pools, mock platform",0:26:24,26
"emp",2023-10-16 08:40:26,2023-10-16 09:02:27,"","","Cluster Pools, mock platform",0:22:1,22
"emp",2023-10-16 09:30:45,2023-10-16 10:15:45,"","","Cluster Pools, mock platform",0:45:0,45
"emp",2023-10-16 10:40:13,2023-10-16 11:20:24,"","","Cluster Pools, mock platform",0:40:11,40
"emp",2023-10-16 13:00:37,2023-10-16 13:30:37,"","","Cluster Pools, unit tests and integration tests",0:30:0,30
"emp",2023-10-16 13:30:37,2023-10-16 14:15:37,"","","Cluster Pools, mock platform",0:45:0,45
"emp",2023-10-16 14:30:37,2023-10-16 15:45:44,"","","admin",1:15:7,75
"emp",2023-10-16 20:35:15,2023-10-16 20:45:15,"","","admin",0:10:0,10
